cve,securitypatchlevel,reference,type,severity,aospversion,securitycomponent,component,other
CVE-2016-5855,2017-05-05,A-35393081 [QC-CR#1094143](https://source.codeaurora.org/quic/la//kernel/msm-4.4/commit/?id=a5edb54e93ba85719091fe2bc426d75fa7059834),N/A,Moderate,N/A,id-in-qualcomm-spcom-driver,N/A,"Updated Google devices=None* Date reported=Feb 15, 2017"
CVE-2017-0632,2017-05-05,A-35392586 [QC-CR#832915](https://source.codeaurora.org/quic/la//kernel/msm-3.10/commit/?id=970d6933e53c1f7ca8c8b67f49147b18505c3b8f),N/A,Moderate,N/A,id-in-qualcomm-sound-codec-driver-2,N/A,"Updated Google devices=Android One Date reported=Feb 15, 2017"
CVE-2017-0633,2017-05-05,A-36000515*,N/A,Moderate,N/A,id-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Feb 23, 2017"
CVE-2017-0634,2017-05-05,A-32511682*,N/A,Moderate,N/A,id-in-synaptics-touchscreen-driver,N/A,"Updated Google devices=Pixel, Pixel XL Date reported=Google internal"
CVE-2014-9923,2017-05-05,A-35434045**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9924,2017-05-05,A-35434631**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9925,2017-05-05,A-35444657**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9926,2017-05-05,A-35433784**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9927,2017-05-05,A-35433785**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9928,2017-05-05,A-35438623**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9929,2017-05-05,A-35443954**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9930,2017-05-05,A-35432946**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2015-9005,2017-05-05,A-36393500**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2015-9006,2017-05-05,A-36393450**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2015-9007,2017-05-05,A-36393700**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2016-10297,2017-05-05,A-36393451**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9941,2017-05-05,A-36385125**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9942,2017-05-05,A-36385319**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9943,2017-05-05,A-36385219**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9944,2017-05-05,A-36384534**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9945,2017-05-05,A-36386912**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9946,2017-05-05,A-36385281**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9947,2017-05-05,A-36392400**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9948,2017-05-05,A-36385126**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9949,2017-05-05,A-36390608**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9950,2017-05-05,A-36385321**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9951,2017-05-05,A-36389161**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2014-9952,2017-05-05,A-36387019**,N/A,High,N/A,vulnerabilities-in-qualcomm-components-2,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2017-0538,2017-04-01,[A-33641588](https://android.googlesource.com/platform/external/libavc/+/494561291a503840f385fbcd11d9bc5f4dc502b8),N/A,Critical,"6.0, 6.0.1, 7.0, 7.1.1",rce-in-mediaserver,N/A,"Updated Google devices=All Date reported=Dec 13, 2016"
CVE-2017-0539,2017-04-01,[A-33864300](https://android.googlesource.com/platform/external/libhevc/+/1ab5ce7e42feccd49e49752e6f58f9097ac5d254),N/A,Critical,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",rce-in-mediaserver,N/A,"Updated Google devices=All Date reported=Dec 23, 2016"
CVE-2017-0541,2017-04-01,[A-34031018](https://android.googlesource.com/platform/external/sonivox/+/56d153259cc3e16a6a0014199a2317dde333c978),N/A,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",rce-in-mediaserver,N/A,"Updated Google devices=All Date reported=Jan 1, 2017"
CVE-2017-0542,2017-04-01,[A-33934721](https://android.googlesource.com/platform/external/libavc/+/33ef7de9ddc8ea7eb9cbc440d1cf89957a0c267b),N/A,Critical,"6.0, 6.0.1, 7.0, 7.1.1",rce-in-mediaserver,N/A,Updated Google devices=All Date reported=Google internal
CVE-2017-0543,2017-04-01,[A-34097866](https://android.googlesource.com/platform/external/libavc/+/f634481e940421020e52f511c1fb34aac1db4b2f),N/A,Critical,"6.0, 6.0.1, 7.0, 7.1.1",rce-in-mediaserver,N/A,Updated Google devices=All Date reported=Google internal
CVE-2017-0544,2017-04-01,[A-31992879](https://android.googlesource.com/platform/frameworks/av/+/4b49489c12e6862e9a320ebcb53872e809ed20ec),N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",eop-in-camerabase,N/A,"Updated Google devices=All Date reported=Oct 6, 2016"
CVE-2017-0545,2017-04-01,[A-32591350](https://android.googlesource.com/platform/frameworks/av/+/e5a54485e08400a976092cd5b1c6d909d0e1a4ab),N/A,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",eop-in-audioserver,N/A,"Updated Google devices=All Date reported=Oct 31, 2016"
CVE-2017-0546,2017-04-01,[A-32628763](https://android.googlesource.com/platform/frameworks/native/+/45b202513ba7440beaefbf9928f73fb6683dcfbd),N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",eop-in-surfaceflinger,N/A,"Updated Google devices=All Date reported=Nov 2, 2016"
CVE-2017-0547,2017-04-01,[A-33861560](https://android.googlesource.com/platform/frameworks/av/+/9667e3eff2d34c3797c3b529370de47b2c1f1bf6),N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",id-in-mediaserver,N/A,"Updated Google devices=All Date reported=Dec 22, 2016"
CVE-2017-0548,2017-04-01,[A-33251605](https://android.googlesource.com/platform/external/skia/+/318e3505ac2436c62ec19fd27ebe9f8e7d174544),N/A,High,"7.0, 7.1.1",dos-in-libskia,N/A,"Updated Google devices=All Date reported=Nov 29, 2016"
CVE-2017-0549,2017-04-01,[A-33818508](https://android.googlesource.com/platform/external/libavc/+/37345554fea84afd446d6d8fbb87feea5a0dde3f),N/A,High,"6.0, 6.0.1, 7.0, 7.1.1",dos-in-mediaserver,N/A,"Updated Google devices=All Date reported=Dec 20, 2016"
CVE-2017-0550,2017-04-01,[A-33933140](https://android.googlesource.com/platform/external/libavc/+/7950bf47b6944546a0aff11a7184947de9591b51),N/A,High,"6.0, 6.0.1, 7.0, 7.1.1",dos-in-mediaserver,N/A,Updated Google devices=All Date reported=Google internal
CVE-2017-0551,2017-04-01,[A-34097231](https://android.googlesource.com/platform/external/libavc/+/8b5fd8f24eba5dd19ab2f80ea11a9125aa882ae2) [2](https://android.googlesource.com/platform/external/libavc/+/494561291a503840f385fbcd11d9bc5f4dc502b8),N/A,High,"6.0, 6.0.1, 7.0, 7.1.1",dos-in-mediaserver,N/A,Updated Google devices=All Date reported=Google internal
CVE-2017-0552,2017-04-01,[A-34097915](https://android.googlesource.com/platform/external/libavc/+/9a00f562a612d56e7b2b989d168647db900ba6cf),N/A,High,"6.0, 6.0.1, 7.0, 7.1.1",dos-in-mediaserver,N/A,Updated Google devices=All Date reported=Google internal
CVE-2017-0553,2017-04-01,[A-32342065](https://android.googlesource.com/platform/external/libnl/+/f83d9c1c67b6be69a96995e384f50b572b667df0),N/A,Moderate,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",eop-in-libnl,N/A,"Updated Google devices=All Date reported=Oct 21, 2016"
CVE-2017-0554,2017-04-01,[A-33815946](https://android.googlesource.com/platform/packages/services/Telephony/+/aeb795ef2290af1a0e4b14909363bc574e6b3ee7) [2](https://android.googlesource.com/platform/frameworks/base/+/3294256ba5b9e2ba2d8619d617e3d900e5386564),N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",eop-in-telephony,N/A,"Updated Google devices=All Date reported=Dec 20, 2016"
CVE-2017-0555,2017-04-01,[A-33551775](https://android.googlesource.com/platform/external/libavc/+/0b23c81c3dd9ec38f7e6806a3955fed1925541a0),N/A,Moderate,"6.0, 6.0.1, 7.0, 7.1.1",id-in-mediaserver-2,N/A,"Updated Google devices=All Date reported=Dec 12, 2016"
CVE-2017-0556,2017-04-01,[A-34093952](https://android.googlesource.com/platform/external/libmpeg2/+/f301cff2c1ddd880d9a2c77b22602a137519867b),N/A,Moderate,"6.0, 6.0.1, 7.0, 7.1.1",id-in-mediaserver-2,N/A,"Updated Google devices=All Date reported=Jan 4, 2017"
CVE-2017-0557,2017-04-01,[A-34093073](https://android.googlesource.com/platform/external/libmpeg2/+/227c1f829127405e21dab1664393050c652ef71e),N/A,Moderate,"6.0, 6.0.1, 7.0, 7.1.1",id-in-mediaserver-2,N/A,"Updated Google devices=All Date reported=Jan 4, 2017"
CVE-2017-0558,2017-04-01,[A-34056274](https://android.googlesource.com/platform/frameworks/av/+/50358a80b1724f6cf1bcdf003e1abf9cc141b122),N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",id-in-mediaserver-2,N/A,Updated Google devices=All Date reported=Google internal
CVE-2017-0559,2017-04-01,[A-33897722](https://android.googlesource.com/platform/external/skia/+/16882f721279a82a1c860ac689ce570b16fe26a0),N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",id-in-libskia,N/A,"Updated Google devices=All Date reported=Dec 25, 2016"
CVE-2017-0560,2017-04-01,[A-30681079](https://android.googlesource.com/platform/frameworks/base/+/efdec8f5688ce6b0a287eddb6d5dad93ffa0e1ee),N/A,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",id-in-factory-reset,N/A,Updated Google devices=All Date reported=Google internal
CVE-2017-0561,2017-04-05,A-34199105*,N/A,Critical,N/A,rce-in-broadcom-wi-fi-firmware,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Jan 9, 2017"
CVE-2016-10230,2017-04-05,A-34389927 [QC-CR#1091408](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=bd9a8fc6d7f6bd1a0b936994630006de450df657),N/A,Critical,N/A,rce-in-qualcomm-crypto-engine-driver,N/A,"Updated Google devices=Nexus 5X, Nexus 6, Nexus 6P, Pixel, Pixel XL, Android One Date reported=Jan 10, 2017"
CVE-2016-10229,2017-04-05,A-32813456 [Upstream kernel](http://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/commit/?id=197c949e7798fbf28cfadc69d9ca0c2abbf93191),N/A,Critical,N/A,rce-in-kernel-networking-subsystem,N/A,"Updated Google devices=Nexus 5X, Nexus 6, Nexus 6P, Pixel, Pixel XL, Pixel C, Android One, Nexus Player Date reported=Google internal"
CVE-2017-0562,2017-04-05,A-30202425*,N/A,Critical*,N/A,eop-in-mediatek-touchscreen-driver,N/A,"Updated Google devices=None** Date reported=Jul 16, 2016"
CVE-2017-0563,2017-04-05,A-32089409*,N/A,Critical,N/A,eop-in-htc-touchscreen-driver,N/A,"Updated Google devices=Nexus 9 Date reported=Oct 9, 2016"
CVE-2017-0564,2017-04-05,A-34276203*,N/A,Critical,N/A,eop-in-kernel-ion-subsystem,N/A,"Updated Google devices=Nexus 5X, Nexus 6, Nexus 6P, Pixel, Pixel XL, Pixel C, Android One, Nexus Player Date reported=Jan 12, 2017"
CVE-2016-10237,2017-04-05,A-31628601**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components,N/A,Updated Google devices=None** Date reported=Qualcomm internal
CVE-2016-10238,2017-04-05,A-35358527**,N/A,Critical,N/A,vulnerabilities-in-qualcomm-components,N/A,Updated Google devices=None*** Date reported=Qualcomm internal
CVE-2016-10239,2017-04-05,A-31624618**,N/A,High,N/A,vulnerabilities-in-qualcomm-components,N/A,"Updated Google devices=Pixel, Pixel XL Date reported=Qualcomm internal"
CVE-2016-5129,2017-04-05,A-29178923,N/A,High,"6.0, 6.0.1, 7.0",rce-in-v8,N/A,"Updated Google devices=None* Date reported=Jul 20, 2016"
CVE-2016-10244,2017-04-05,A-31470908,N/A,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0",rce-in-freetype,N/A,"Updated Google devices=None* Date reported=Sep 13, 2016"
CVE-2014-4656,2017-04-05,A-34464977 [Upstream kernel](http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=883a1d49f0d77d30012f114b2e19fc141beb3e8e),N/A,High,N/A,eop-in-kernel-sound-subsystem,N/A,"Updated Google devices=Nexus 6, Nexus Player Date reported=Jun 26, 2014"
CVE-2017-0339,2017-04-05,A-27930566*,N/A,High,N/A,eop-in-nvidia-crypto-driver,N/A,"Updated Google devices=Nexus 9 Date reported=Mar 29, 2016"
CVE-2017-0332,2017-04-05,A-33812508*,N/A,High,N/A,eop-in-nvidia-crypto-driver,N/A,"Updated Google devices=Nexus 9 Date reported=Dec 21, 2016"
CVE-2017-0327,2017-04-05,A-33893669*,N/A,High,N/A,eop-in-nvidia-crypto-driver,N/A,"Updated Google devices=Nexus 9 Date reported=Dec 24, 2016"
CVE-2017-0565,2017-04-05,A-28175904*,N/A,High,N/A,eop-in-mediatek-thermal-driver,N/A,"Updated Google devices=None** Date reported=Apr 11, 2016"
CVE-2017-0566,2017-04-05,A-28470975*,N/A,High,N/A,eop-in-mediatek-camera-driver,N/A,"Updated Google devices=None** Date reported=Apr 29, 2016"
CVE-2017-0567,2017-04-05,A-32125310*,N/A,High,N/A,eop-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Oct 12, 2016"
CVE-2017-0568,2017-04-05,A-34197514*,N/A,High,N/A,eop-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Jan 9, 2017"
CVE-2017-0569,2017-04-05,A-34198729*,N/A,High,N/A,eop-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Jan 9, 2017"
CVE-2017-0570,2017-04-05,A-34199963*,N/A,High,N/A,eop-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Jan 9, 2017"
CVE-2017-0571,2017-04-05,A-34203305*,N/A,High,N/A,eop-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Pixel C, Nexus Player Date reported=Jan 9, 2017"
CVE-2017-0572,2017-04-05,A-34198931*,N/A,High,N/A,eop-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=None** Date reported=Jan 9, 2017"
CVE-2017-0573,2017-04-05,A-34469904*,N/A,High,N/A,eop-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Jan 18, 2017"
CVE-2017-0574,2017-04-05,A-34624457*,N/A,High,N/A,eop-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C Date reported=Jan 22, 2017"
CVE-2017-0575,2017-04-05,A-32658595*,N/A,High,N/A,eop-in-qualcomm-wi-fi-driver,N/A,"Updated Google devices=Nexus 5X, Pixel, Pixel XL Date reported=Nov 3, 2016"
CVE-2017-0325,2017-04-05,A-33040280*,N/A,High,N/A,eop-in-nvidia-i2c-hid-driver,N/A,"Updated Google devices=Nexus 9, Pixel C Date reported=Nov 20, 2016"
CVE-2017-0454,2017-04-05,A-33353700 [QC-CR#1104067](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=cb0701a2f99fa19f01fbd4249bda9a8eadb0241f),N/A,High,N/A,eop-in-qualcomm-audio-driver,N/A,"Updated Google devices=Nexus 5X, Nexus 6P, Pixel, Pixel XL Date reported=Dec 5, 2016"
CVE-2017-0576,2017-04-05,A-33544431 [QC-CR#1103089](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=2b09507d78b25637df6879cd2ee2031b208b3532),N/A,High,N/A,eop-in-qualcomm-crypto-engine-driver,N/A,"Updated Google devices=Nexus 5X, Nexus 6, Nexus 6P, Pixel, Pixel XL, Android One Date reported=Dec 9, 2016"
CVE-2017-0577,2017-04-05,A-33842951*,N/A,High,N/A,eop-in-htc-touchscreen-driver-2,N/A,"Updated Google devices=None** Date reported=Dec 21, 2016"
CVE-2017-0578,2017-04-05,A-33964406*,N/A,High,N/A,eop-in-dts-sound-driver,N/A,"Updated Google devices=None** Date reported=Dec 28, 2016"
CVE-2016-10231,2017-04-05,A-33966912 [QC-CR#1096799](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=3bfe5a89916f7d29492e9f6d941d108b688cb804),N/A,High,N/A,eop-in-qualcomm-sound-codec-driver,N/A,"Updated Google devices=Pixel, Pixel XL Date reported=Dec 29, 2016"
CVE-2017-0579,2017-04-05,A-34125463*,N/A,High,N/A,eop-in-qualcomm-video-driver,N/A,"Updated Google devices=Nexus 5X, Nexus 6P, Pixel, Pixel XL Date reported=Jan 5, 2017"
CVE-2016-10232,2017-04-05,A-34386696 [QC-CR#1024872](https://source.codeaurora.org/quic/la//kernel/msm-3.10/commit/?id=21e0ead58e47798567d846b84f16f89cf69a57ae) [[2]](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=27f7b3b3059f6181e2786f886f4cd92f413bc30c),N/A,High,N/A,eop-in-qualcomm-video-driver,N/A,"Updated Google devices=Nexus 5X, Nexus 6P, Pixel, Pixel XL, Android One Date reported=Jan 10, 2017"
CVE-2016-10233,2017-04-05,A-34389926 [QC-CR#897452](https://source.codeaurora.org/quic/la/kernel/msm/commit/?id=d793c6d91ecba2a1fd206ad47a4fd408d290addf),N/A,High,N/A,eop-in-qualcomm-video-driver,N/A,"Updated Google devices=None** Date reported=Jan 10, 2017"
CVE-2017-0329,2017-04-05,A-34115304*,N/A,High,N/A,eop-in-nvidia-boot-and-power-management-processor-driver,N/A,"Updated Google devices=Pixel C Date reported=Jan 5, 2017"
CVE-2017-0580,2017-04-05,A-34325986*,N/A,High,N/A,eop-in-synaptics-touchscreen-driver,N/A,"Updated Google devices=None** Date reported=Jan 16, 2017"
CVE-2017-0581,2017-04-05,A-34614485*,N/A,High,N/A,eop-in-synaptics-touchscreen-driver,N/A,"Updated Google devices=None** Date reported=Jan 22, 2017"
CVE-2017-0462,2017-04-05,A-33353601 [QC-CR#1102288](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=eb7b1426279e751b1fc3e86f434dc349945c1ae7),N/A,High,N/A,eop-in-qualcomm-seemp-driver,N/A,"Updated Google devices=Pixel, Pixel XL Date reported=Google internal"
CVE-2017-6423,2017-04-05,A-32831370 [QC-CR#1103158](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=0f264f812b61884390b432fdad081a3e995ba768),N/A,High,N/A,eop-in-qualcomm-kyro-l2-driver,N/A,"Updated Google devices=Pixel, Pixel XL Date reported=Google internal"
CVE-2014-9922,2017-04-05,A-32761463 [Upstream kernel](http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=69c433ed2ecd2d3264efd7afec4439524b319121),N/A,High,N/A,eop-in-kernel-file-system,N/A,"Updated Google devices=Nexus 5X, Nexus 6, Nexus 6P, Nexus 9, Pixel, Pixel XL, Pixel C, Android One, Nexus Player Date reported=Oct 24, 2014"
CVE-2014-0206,2017-04-05,A-34465735 [Upstream kernel](https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/commit/?id=d36db46c2cba973557eb6138d22210c4e0cf17d6),N/A,High,N/A,id-in-kernel-memory-subsystem,N/A,"Updated Google devices=Nexus 6, Nexus Player Date reported=May 6, 2014"
CVE-2014-3145,2017-04-05,A-34469585 [Upstream kernel](https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/commit/?id=314760e66c35c8ffa51b4c4ca6948d207e783079) [[2]](http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=05ab8f2647e4221cbdb3856dd7d32bd5407316b3),N/A,High,N/A,id-in-kernel-networking-subsystem,N/A,"Updated Google devices=Nexus 6, Nexus Player Date reported=May 9, 2014"
CVE-2016-5349,2017-04-05,A-29083830 [QC-CR#1021945](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=7c3bf6557c62d904b15507eb451fda8fd7ef750c) [[2]](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=03853a58952834ac3e1e3007c9c680dd4c001a2f) [[3]](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=e3d969000fb60ecb9bc01667fa89957f67763514) [[4]](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=9bd398661cae758ffc557adc7de74ba32654e1f9),N/A,High,N/A,id-in-qualcomm-trustzone,N/A,"Updated Google devices=Nexus 5X, Nexus 6, Nexus 6P, Pixel, Pixel XL, Android One Date reported=Jun 1, 2016"
CVE-2016-10234,2017-04-05,A-34390017 [QC-CR#1069060](https://source.codeaurora.org/quic/la/kernel/msm-3.10/commit/?id=c7d7492c1e329fdeb28a7901c4cd634d41a996b1) [[2]](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=d12370c7f3ecded1867fbd6b70ded35db55cab1d),N/A,High,N/A,id-in-qualcomm-ipa-driver,N/A,"Updated Google devices=Nexus 5X, Nexus 6P, Pixel, Pixel XL Date reported=Jan 10, 2017"
CVE-2014-2706,2017-04-05,A-34160553 [Upstream kernel](https://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/commit/?id=1d147bfa64293b2723c4fec50922168658e613ba),N/A,High,N/A,dos-in-kernel-networking-subsystem,N/A,"Updated Google devices=Nexus Player Date reported=Apr 1, 2014"
CVE-2016-10235,2017-04-05,A-34390620 [QC-CR#1046409](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=5bb0059243515ecdac138cfdb4cee7259bbd0bbc),N/A,High,N/A,dos-in-qualcomm-wi-fi-driver,N/A,"Updated Google devices=None** Date reported=Jan 10, 2017"
CVE-2016-7097,2017-04-05,A-32458736 [Upstream kernel](http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=073931017b49d9458aa351605b43a7e34598caef),N/A,Moderate,N/A,eop-in-kernel-file-system-2,N/A,"Updated Google devices=Nexus 5X, Nexus 6, Nexus 6P, Nexus 9, Pixel, Pixel XL, Pixel C, Nexus Player Date reported=Aug 28, 2016"
CVE-2017-6424,2017-04-05,A-32086742 [QC-CR#1102648](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=5cc2ac840e36a3342c5194c20b314f0bb95ef7e1),N/A,Moderate,N/A,eop-in-qualcomm-wi-fi-driver-2,N/A,"Updated Google devices=Nexus 5X, Pixel, Pixel XL, Android One Date reported=Oct 9, 2016"
CVE-2016-8465,2017-04-05,A-32474971*,N/A,Moderate,N/A,eop-in-broadcom-wi-fi-driver-2,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Oct 27, 2016"
CVE-2017-0582,2017-04-05,A-33178836*,N/A,Moderate,N/A,eop-in-htc-oem-fastboot-command,N/A,"Updated Google devices=Nexus 9 Date reported=Nov 28, 2016"
CVE-2017-0583,2017-04-05,A-32068683 [QC-CR#1103788](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=452d2ad331d20b19e8a0768c4b6e7fe1b65abe8f),N/A,Moderate,N/A,eop-in-qualcomm-cp-access-driver,N/A,"Updated Google devices=Nexus 5X, Nexus 6P, Pixel, Pixel XL, Android One Date reported=Google internal"
CVE-2014-1739,2017-04-05,A-34460642 [Upstream kernel](http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=e6a623460e5fc960ac3ee9f946d3106233fd28d8),N/A,Moderate,N/A,id-in-kernel-media-driver,N/A,"Updated Google devices=Nexus 6, Nexus 9, Nexus Player Date reported=Jun 15, 2014"
CVE-2017-0584,2017-04-05,A-32074353*,N/A,Moderate,N/A,id-in-qualcomm-wi-fi-driver,N/A,"Updated Google devices=Nexus 5X, Pixel, Pixel XL Date reported=Oct 9, 2016"
CVE-2017-0585,2017-04-05,A-32475556*,N/A,Moderate,N/A,id-in-broadcom-wi-fi-driver,N/A,"Updated Google devices=Nexus 6, Nexus 6P, Nexus 9, Pixel C, Nexus Player Date reported=Oct 27, 2016"
CVE-2016-5346,2017-04-05,A-32551280 [QC-CR#1097878](https://source.codeaurora.org/quic/la//kernel/msm-3.18/commit/?id=6298a474322fb2182f795a622b2faa64abfd8474),N/A,Moderate,N/A,id-in-qualcomm-avtimer-driver,N/A,"Updated Google devices=Pixel, Pixel XL Date reported=Oct 29, 2016"
CVE-2017-6425,2017-04-05,A-32577085 [QC-CR#1103689](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=ef86560a21fe1f256f6ba772a195201ff202c657),N/A,Moderate,N/A,id-in-qualcomm-video-driver,N/A,"Updated Google devices=Pixel, Pixel XL Date reported=Oct 29, 2016"
